,Tmc,Direction,stationid,highwayid,RoadNumb_1,direction,bound,standardized_direction_portal,standardized_direction_inrix,StartLat,StartLong,milepost,lon,lat,highwayname
8266,114-04456,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,303.1,-122.675926374065,45.544363941229,I-5
8266,114-04456,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,303.1,-122.675926374065,45.544363941229,I-5
8266,114-04456,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,303.1,-122.675926374065,45.544363941229,I-5
8266,114-04456,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,303.1,-122.675926374065,45.544363941229,I-5
8266,114-04456,Southbound,3121,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,302.51,-122.668429429404,45.5367496273398,I-5
8266,114-04456,Southbound,3121,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,302.51,-122.668429429404,45.5367496273398,I-5
8266,114-04456,Southbound,3121,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54219,-122.67332,302.51,-122.668429429404,45.5367496273398,I-5
8426,114N04457,Southbound,3122,6,I-5,SOUTH,SB,SOUTH,SOUTH,45.54898,-122.67882,4.09,-122.678837024426,45.5471439745023,I-405
8426,114N04457,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54898,-122.67882,303.1,-122.675926374065,45.544363941229,I-5
8426,114N04457,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54898,-122.67882,303.1,-122.675926374065,45.544363941229,I-5
8426,114N04457,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54898,-122.67882,303.1,-122.675926374065,45.544363941229,I-5
8426,114N04457,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54898,-122.67882,303.1,-122.675926374065,45.544363941229,I-5
8426,114N04457,Southbound,1034,2,I-5,SOUTH,SB,SOUTH,SOUTH,45.54898,-122.67882,303.1,-122.675926374065,45.544363941229,I-5
8426,114N04457,Southbound,3122,6,I-5,SOUTH,SB,SOUTH,SOUTH,45.54898,-122.67882,4.09,-122.678837024426,45.5471439745023,I-405
8426,114N04457,Southbound,3170,5,I-5,NORTH,NB,NORTH,SOUTH,45.54898,-122.67882,4.2,-122.678246868194,45.5471890857937,I-405
8426,114N04457,Southbound,3170,5,I-5,NORTH,NB,NORTH,SOUTH,45.54898,-122.67882,4.2,-122.678246868194,45.5471890857937,I-405
8519,114+04462,Northbound,3123,1,I-5,NORTH,NB,NORTH,NORTH,45.57721,-122.67853,305.6,-122.678500575072,45.5787069169063,I-5
8519,114+04462,Northbound,3123,1,I-5,NORTH,NB,NORTH,NORTH,45.57721,-122.67853,305.6,-122.678500575072,45.5787069169063,I-5
10373,114N04398,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.52018,-122.56556,20.34,-122.565620428502,45.5166508192563,I-205
10373,114N04398,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.52018,-122.56556,20.34,-122.565620428502,45.5166508192563,I-205
10373,114N04398,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.52018,-122.56556,20.34,-122.565620428502,45.5166508192563,I-205
10373,114N04398,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.52018,-122.56556,20.34,-122.565620428502,45.5166508192563,I-205
10373,114N04398,Southbound,1051,4,I-205,SOUTH,SB,SOUTH,SOUTH,45.52018,-122.56556,20.34,-122.565620428502,45.5166508192563,I-205
